nama_penjara,provinsi
LAPAS PEREMPUAN KELAS II B PADANG,SUMATERA BARAT
LAPAS PEREMPUAN KELAS II B SIGLI,ACEH
LAPAS PEREMPUAN KELAS II B YOGYAKARTA,D.I. YOGYAKARTA
LAPAS PEREMPUAN KELAS III AMBON,MALUKU
LAPAS PEREMPUAN KELAS III GORONTALO,GORONTALO
LAPAS PEREMPUAN KELAS III JAYAPURA,PAPUA
LAPAS PEREMPUAN KELAS III KENDARI,SULAWESI TENGGARA
LAPAS PEREMPUAN KELAS III MAMUJU,SULAWESI BARAT
LAPAS PEREMPUAN KELAS III MANOKWARI,PAPUA BARAT
LAPAS PEREMPUAN KELAS III MATARAM,NUSA TENGGARA BARAT
LAPAS PEREMPUAN KELAS III PALU,SULAWESI TENGAH
LAPAS PEREMPUAN KELAS III PANGKALPINANG,BANGKA BELITUNG
LAPAS PEREMPUAN KELAS III TERNATE,MALUKU UTARA
LAPAS TERBUKA KELAS II B CIANGIR,BANTEN
LAPAS TERBUKA KELAS II B KENDAL,JAWA TENGAH
LAPAS TERBUKA KELAS II B LOMBOK TENGAH,NUSA TENGGARA BARAT
LAPAS TERBUKA KELAS II B NUSAKAMBANGAN,JAWA TENGAH
LAPAS TERBUKA KELAS II B PASAMAN,SUMATERA BARAT
LAPAS TERBUKA KELAS II B WAIKABUBAK,NUSA TENGGARA TIMUR
LAPAS TERBUKA KELAS III RUMBAI,RIAU
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I BLITAR,JAWA TIMUR
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I KUPANG,NUSA TENGGARA TIMUR
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I KUTOARJO,JAWA TENGAH
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I MARTAPURA,KALIMANTAN SELATAN
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I MEDAN,SUMATERA UTARA
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I PALEMBANG,SUMATERA SELATAN
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I TANGERANG,BANTEN
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II AMBON,MALUKU
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BANDA ACEH,ACEH
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BANDAR LAMPUNG,LAMPUNG
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BANDUNG,JAWA BARAT
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BATAM,KEPULAUAN RIAU
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BENGKULU,BENGKULU
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II GORONTALO,GORONTALO
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II JAKARTA,DKI JAKARTA
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II JAYAPURA,PAPUA
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II KARANGASEM,BALI
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II KENDARI,SULAWESI TENGGARA
