providerName,siteURL,imageURL,domain,estFoundingYear
Kita Kompeten,https://www.instagram.com/kita.kompeten/?hl=en,https://static-asset-cdn.prakerja.go.id/companies-logo/Kita_Kompeten.png?v=3,instagram.com,2004-06-04
Krealogi by Du Anyam,https://krealogi.com/ketentuan-program-pra-kerja-2021/,https://static-asset-cdn.prakerja.go.id/companies-logo/Krealogi_by_Du_Anyam.png?v=3,krealogi.com,2020-09-03
Kursus Menjahit 28 Jam,https://www.kursusmenjahit28jam.com/2021/07/30/belajar-menjahit-bersama-kursus-menjahit-28-jam/,https://static-asset-cdn.prakerja.go.id/companies-logo/Kursus_Menjahit_28_Jam.png?v=3,kursusmenjahit28jam.com,
L.A. Language Academy,https://kampungbahasajogja.net/pages/31/Kartu-Prakerja.html,https://static-asset-cdn.prakerja.go.id/companies-logo/L.A._Language_Academy.png?v=3,kampungbahasajogja.net,2019-10-08
Laboratorium Komputer Indonesia,https://labkomputerindonesia.com/kartuprakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/labkomputerindonesia.png?v=3,labkomputerindonesia.com,2020-11-12
Latifa Spa Academy,https://academylatifa.com/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Latifa_Spa_Academy.png?v=3,academylatifa.com,
LEMBAGA PENDIDIKAN PRAWITA,https://prakerja.skillcourse.id/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/LEMBAGA_PENDIDIKAN_PRAWITA.png?v=3,prakerja.skillcourse.id,
Lestari Computer,http://lestaricomputer.co.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Lestari_Computer.png?v=3,lestaricomputer.co.id,
let's.bakencook,https://letsbakencook.com/prakerja/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/-HxJF8Qbakencook.png?v=3,letsbakencook.com,2021-01-05
LIA,https://lblia.com/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/t5ot-dMLogo LIA Biru png - Frisca Sangap.png?v=3,lblia.com,2016-07-04
Lingkaran,https://lingkaran.co/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Lingkaran.png?v=3,lingkaran.co,2014-06-19
LKP Bina Dharma,https://binadharmaschool.com/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/LKP_Bina_Dharma.png?v=3,binadharmaschool.com,2020-04-16
LKP Bina Sipirok Jaya,http://www.lkpbsjsipirok.sch.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/LKP_Bina_Sipirok_Jaya.png?v=3,lkpbsjsipirok.sch.id,
LKP Cakra,https://kursuscakra.com/mitra/,https://static-asset-cdn.prakerja.go.id/companies-logo/LKP_Cakra.png?v=3,kursuscakra.com,2020-09-23
LKP Learn English and Play,https://leapsurabaya.sch.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/LKP_Learn_English_and_Play.png?v=3,leapsurabaya.sch.id,
LKP Madani,http://www.accesnet.sch.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/LKP-Madani.png?v=3,accesnet.sch.id,
LKP Putra Perwira,https://lkpputraperwira.com/,https://static-asset-cdn.prakerja.go.id/companies-logo/LKPPutraPerwira.png?v=3,lkpputraperwira.com,2016-04-18
LKP Sinar Nusantara,http://www.sinarnusantarasemarang.com/kerjasamasekolahmu.php,https://static-asset-cdn.prakerja.go.id/companies-logo/LKPSinarNusantara.png?v=3,sinarnusantarasemarang.com,2013-06-24
LKP Smart Education Wajo,https://www.facebook.com/Lkpsmarteducationwajo,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/2-ZU_kMsmart-education-waju.png?v=3,facebook.com,1997-03-29
LPK BATAM PROFESIONAL,https://lpbpcourse.com/kartu-prakerja/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/3yBXNyslpbpcourse.png?v=3,lpbpcourse.com,2020-10-20
LPK CIPTA KARYA INTELEKTUAL,https://kampuscki.com/home/tentang-prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_CIPTA_KARYA_INTELEKTUAL.png?v=3,kampuscki.com,2019-10-26
